"ITEM","CATEGORY","STORE_NAME","UNIT_PRICE","QUANTITY","SUBTOTAL","CREATED_AT","DELIVERY_TIME","DELIVERY_ADDRESS"
"Cheeseburger","Burgers","Marcello's (Walkley)",9.33,1,9.33,"2025-10-02 22:09:51.399000000","2025-10-02 22:31:51.107955000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Penne Pomodoro","Pasta","Marcello's (Walkley)",11.48,1,11.48,"2025-10-02 22:09:51.399000000","2025-10-02 22:31:51.107955000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Firehouse Meatball®","Hot Specialty Subs","Firehouse Subs",13.73,2,27.45,"2025-08-29 15:14:13.920000000","2025-08-29 15:55:53.307044000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Lean Ground Beef (each)","Meat","Metro Grocery",14.34,1,6.66,"2025-08-17 23:13:31.634000000","2025-08-18 00:39:29.337385000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Blueberries","Produce","Metro Grocery",2.89,1,2.89,"2025-08-17 23:13:31.634000000","2025-08-18 00:39:29.337385000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Carbone Marinara Pasta Sauce (660 ml)","Pantry","Metro Grocery",8.68,1,8.68,"2025-08-17 23:13:31.634000000","2025-08-18 00:39:29.337385000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Nestlé Coffee Mate Coffee Crisp Flavored Coffee Whitener (828 ml)","Dairy & Eggs","Metro Grocery",3.97,1,3.97,"2025-08-17 23:13:31.634000000","2025-08-18 00:39:29.337385000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Avocados Bag (5 ct)","Produce","Metro Grocery",3.61,1,3.61,"2025-08-17 23:13:31.634000000","2025-08-18 00:39:29.337385000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"BBQ Seasoned Chicken Drumsticks (each)","Meat","Metro Grocery",6.4,1,6.4,"2025-08-17 23:13:31.634000000","2025-08-18 00:39:29.337385000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Front Street Bakery Chocolate Chunk Cookies (370 g)","Bakery","Metro Grocery",4.33,1,4.33,"2025-08-17 23:13:31.634000000","2025-08-18 00:39:29.337385000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Pom Wonderful Pomegranate Juice (473 ml)","Drinks","Metro Grocery",4.33,3,13,"2025-08-17 23:13:31.634000000","2025-08-18 00:39:29.337385000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Big Mac [560.0 Cals]","Individual Items","McDonald's",5.87,1,5.87,"2025-08-14 04:12:44.919000000","2025-08-14 04:24:26.202072000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"12-Pack Chocolate Chunk Cookies (2610 Cals)","Snacks & Sides","Subway",4.35,1,4.35,"2025-08-03 23:11:05.927000000","2025-08-03 23:27:20.061972000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Meatball Marinara","Sandwiches","Subway",8.11,1,8.11,"2025-08-03 23:11:05.927000000","2025-08-03 23:27:20.061972000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Mocha Frappuccino® Blended Beverage","Frappuccino® Blended Beverage","Starbucks",8.27,1,8.27,"2025-07-31 09:46:05.702000000","2025-07-31 10:24:51.949507000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Spinach, Feta and Cage Free Egg White Wrap","Breakfast","Starbucks",5.16,1,5.16,"2025-07-31 09:46:05.702000000","2025-07-31 10:24:51.949507000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"OG CHEESEBURGER","OG Burgers","The Burger's Priest",16.1,1,16.1,"2025-07-04 23:02:44.689000000","2025-07-04 23:31:48.766969000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Hamburger","Burgers","Marcello's (Walkley)",8.83,1,8.83,"2025-07-03 00:50:38.836000000","2025-07-03 01:23:38.088987000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Penne Pomodoro","Pasta","Marcello's (Walkley)",11.77,1,11.77,"2025-07-03 00:50:38.836000000","2025-07-03 01:23:38.088987000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Meatball Marinara","Sandwiches","Subway",8.12,1,8.12,"2025-06-27 11:39:35.155000000","2025-06-27 11:49:20.063791000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"12-Pack Chocolate Chunk Cookies (2610 Cals)","Snacks & Sides","Subway",4.39,1,4.39,"2025-06-27 11:39:35.155000000","2025-06-27 11:49:20.063791000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Meatball Marinara","Build Your Own","Subway",8.1,1,8.1,"2025-06-20 03:28:08.101000000","2025-06-20 03:37:32.438894000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"12-Pack Chocolate Chunk Cookies (2610 Cals)","Snacks & Sides","Subway",4.38,1,4.38,"2025-06-20 03:28:08.101000000","2025-06-20 03:37:32.438894000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Jr. Bacon Cheeseburger (Cals: 390)","Quality Choices","Wendy's",2.33,1,2.33,"2025-05-26 21:31:34.608000000","2025-05-26 21:48:34.615380000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Jr. Bacon Cheeseburger (Cals: 390)","Cheeseburgers","Wendy's",2.25,2,4.51,"2025-05-13 21:57:03.282000000","2025-05-13 22:10:36.627741000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
"Spinach, Feta and Cage Free Egg White Wrap","Breakfast","Starbucks",4.94,1,4.94,"2025-04-10 10:26:58.437000000","2025-04-10 10:38:27.224650000","3310 Southgate Rd, Ottawa, ON K1V 8X3, Canada"
